Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,
Date,,,,,,,,
2023-03-10,20187.244140625,20370.595703125,19628.25390625,20367.001953125,39578257695,22989.569375,21760.735846920288,19.558022483554396
2023-03-11,20632.41015625,20792.525390625,20068.66015625,20187.876953125,30180288176,22948.6865234375,21744.61690848214,26.312321250536712
2023-03-12,22163.94921875,22185.03125,20448.806640625,20628.029296875,29279035521,22936.4130078125,21750.522997359156,39.27392432483652
2023-03-13,24197.533203125,24550.837890625,21918.19921875,22156.40625,49466362688,22965.9553515625,21784.509250217016,53.96457139263107
2023-03-14,24746.07421875,26514.716796875,24081.18359375,24201.765625,54622230164,23002.188203125,21825.078633347603,59.207457529351444
2023-03-15,24375.9609375,25240.615234375,23964.91015625,24770.92578125,43655701450,23036.978046875,21859.55001583615,54.26427064207613
2023-03-16,25052.7890625,25190.326171875,24225.111328125,24373.45703125,33866061747,23075.676640625,21902.126536458334,58.70648128523041
2023-03-17,27423.9296875,27787.8125,24955.169921875,25055.123046875,50730261335,23163.4996875,21974.781841077303,74.5294613658333
2023-03-18,26965.87890625,27725.953125,26636.26171875,27448.1171875,35723036817,23241.2426953125,22039.60128348214,71.42294203269554
2023-03-19,28038.67578125,28440.560546875,26907.716796875,26969.50390625,37769448859,23341.3944140625,22116.51249499199,73.83101457081447
2023-03-20,27767.236328125,28527.724609375,27242.880859375,28041.6015625,44774027664,23421.2478125,22188.04064477848,72.19932618665088
2023-03-21,28175.81640625,28439.5625,27439.646484375,27768.392578125,36102192830,23527.9613671875,22262.887841796874,74.36946961352103
2023-03-22,27307.4375,28803.3359375,26759.99609375,28158.720703125,33382021890,23611.324453125,22325.16623263889,72.20290785643229
2023-03-23,28333.97265625,28729.84375,27183.36328125,27301.95703125,24220433689,23703.528515625,22398.444359756097,82.5120129782706
2023-03-24,27493.28515625,28388.4375,27039.265625,28324.111328125,25980310960,23783.956796875,22459.827983810243,78.26675579372477
2023-03-25,27494.70703125,27791.826171875,27196.234375,27487.337890625,13383005987,23864.8644921875,22519.767020089286,77.49397690675465
2023-03-26,27994.330078125,28178.14453125,27445.046875,27495.5234375,13878363192,23958.114140625,22584.17364430147,75.46524767058399
2023-03-27,27139.888671875,28037.92578125,26606.689453125,27994.068359375,18188895178,24041.79859375,22637.147074854653,64.32698584425485
2023-03-28,27268.130859375,27460.71875,26677.818359375,27132.888671875,17783600385,24131.9590234375,22690.3767735273,62.80455480900753
